id;Practice name;Phone 1;Expertise (REHAB / SPORT / WOMEN / VET / AESTHETIC);Address;City;ZIP code;Country;Latitude;longitude
1;CHAPUIS CHRISTOPHE;33553641637;"[""Rehabilitation""]";44 RUE DU BEDAT;MARMANDE;47200;FRANCE;44,5018813;0,1780107
2;CENTRO DE FISIOTERAPIA DR RASGADO RODRIGUES;351 21 411 5864;"[""Rehabilitation""]";RUA CONDE RIO MAIOR 14;ALGES;;PORTUGAL;38,7059843;-9,2280745
3;CLINICA MONTEGRANDE;34968873148;"[""Rehabilitation""]";CALLE CLAVELES, 6;TORREAGUERA;;SPAIN;37,9754164;-1,0604872
4;LUIS VIU;;"[""Rehabilitation""]";CARRER CADERNERA, 36;BETERA;;SPAIN;39,5762956;-0,482387
5;FISIO OLIMPIC SPORT;34961142357;"[""Rehabilitation""]";FISIOTERAPIA MARINA BAIXA, CARRER DE LA MARINA BAIXA, 5, ESC3, PLANTA 15;VALENCIA;;SPAIN;39,4904922;-0,4047763
6;SAMA GUIDARA, AMINA GUIDARA;21674890288;"[""Rehabilitation""]";ROUTE DE MAHDIA, IMMEUBLE EDRISS (EN FACE BIAT SAKIET EDDAYER), KM 7;SAKIET EDDAIER;;TUNISIA;34,8040842;10,7850674
7;CENTRE EL ALYA ;21674462000;"[""Rehabilitation"",""Physio Aesthetic""]";ROUTE EL AIN;SFAX;3051;TUNISIA;34,747142;10,7385873
8;ONS MEDICO SPA;21631400396;"[""Uro & Pelvic Floor""]";AVENUE 14 JANVIER;SOUSSE;;TUNISIA;35,8601584;10,6126653
9;SAMA GUIDARA, AMINA GUIDARA ROUTE DE TUNIS KM 2,5 3002 SFAX TUNISIE? SFAX 3002, TUNISIE;21674230300;"[""Rehabilitation""]";ROUTE DE TUNIS KM 2,5 COMPLEXE MEDICAL DAR ATTABIB SFAX - TUNISIE 3002;SFAX;3002;TUNISIA;34,7643393;10,7620082
10;SADOK ZARROUK;21671843571;"[""Rehabilitation""]";MUTUELLEVILLE, 90 AVENUE JUGURTHA;TUNIS;;TUNISIA;36,8250138;10,1751903
11;HEALTHWAY MEDICAL - GB5;6327206109;"[""Rehabilitation""]";4TH FLOOR GREENBELT 5, AYALA CENTER MAKATI, PALM DRIVE;;;;14,5505972;121,0250855
12;MINDANAO ORTHOPEDIC SPORTS AND REHABILITATION CENTER, INC.;63823054412;"[""Rehabilitation""]";CITY TRIANGLE, ROXAS AVENUE, ;;;;7,069963;125,614062
13;URESTORE PHYSICAL THERAPY AND REHABILITATION CLINIC;6328328606;"[""Rehabilitation""]";SM CITY BICUTAN BUILDING B, BICUTAN BRANCH - LOWER GROUND FLOOR, ;;;;14,4869618;121,0433644
14;APEX DIAGNOSTIC AND PHYSICAL REHAB CLINIC;6326964448;"[""Rehabilitation""]";SAN ROQUE, L. SUMULONG MEMORIAL CIRCLE,UNIT 5 & 6 MEGATHON BUILDING,  ;;;;14,5805838;121,1745928
15;GROSSU ANCA;33660244070;"[""Rehabilitation""]";7 RUE DES BELLES FEUILLES;;;;48,8659924;2,2825957
16;PARFUMERIE KOSMETIK BY SYLVIA;3280229468;"[""Uro & Pelvic Floor""]";HAUPTSTRAßE 20 4780 ;;;;50,2797708;6,1266657
17;CENTRE S’THETIQUE;3242460583;"[""Uro & Pelvic Floor""]";RUE MATHIEU DE LEXHY 275 ;;;;50,6479372;5,4951339
18;BALAN ION;33644168577;"[""Rehabilitation""]";5 AVENUE D'ALSACE;;;;43,7392074;7,4166345
19;SCM MKD LES TERRES FROIDES;33474923205;"[""Rehabilitation""]";1 CHEMIN DE L'USINE;;;;45,4913515;5,3893027
20;FALCHI STEPHANE;33951324337;"[""Rehabilitation""]";1195 CHEMIN DES CRUYES;;;;43,5683057;5,4173426
21;SAGE FEMME : JUNGES-BAUD CATHERINE;33148835541;"[""Uro & Pelvic Floor""]";78 AVENUE LAFERRIÈRE;;;;48,790367;2,455572
22;SAGE FEMME : LEGALL FREDERIQUE;33468115240;"[""Uro & Pelvic Floor""]";6 RUE JOSEPH GOSSEC;;;;43,2166466;2,358304
23;LAGARDE CLEMENT MKDE;33659044840;"[""Rehabilitation""]";12 RUE DE PICPUS;;;;48,8470144;2,3936913
24;ETIENNE HONORE;33320331959;"[""Rehabilitation""]";101 A BOULEVARD DE MONS;;;;50,644158;3,1341286
25;CLAUDY BOULANGER;32496876284;"[""Rehabilitation""]";BOULEVARD DE L'ENSEIGNEMENT 14B ;;;;50,1957693;4,5467522
26;MOKHTAR RAGOUBI;216 73 304 852;"[""Rehabilitation""]";43 BOULEVARD EL IMAM ABOU HANIFA;;SOUSSE;TUNISIA;35,8003885;10,6111432
